system:index,month,ndvi_mean,ndwi_max,ndwi_mean,rainfall_mm_x,year,.geo,year_month,temperature_c,rainfall_mm,humidity_percent,month_sin,month_cos,ndvi_mean_lag1,ndwi_mean_lag1,ndwi_mean_lag2,rainfall_lag1,rainfall_lag2,rainfall_roll3,temperature_lag1,humidity_lag1,rain_humidity_interaction_lag1,flood_risk
9,10,0.0692517960044604,0.0948952879581151,-0.0744246537795397,472.6085100586369,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-10,20.07,274.9,91.13,-0.8660254037844386,0.5000000000000001,0.0674380144867269,-0.0727282192832529,-0.0336604951535016,348.1,484.2,558.3,19.42,94.1,32756.21,1
10,11,0.1016645211291973,0.0630438643225004,-0.0973696260249858,174.9437069010255,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-11,19.39,262.3,89.93,-0.5000000000000004,0.8660254037844384,0.0692517960044604,-0.0744246537795397,-0.0727282192832529,274.9,348.1,369.0666666666666,20.07,91.13,25051.636999999995,1
11,12,0.5255167023461463,0.3979410720624778,-0.4131843768114809,20.83445758191448,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-12,19.42,20.0,76.26,-2.4492935982947064e-16,1.0,0.1016645211291973,-0.0973696260249858,-0.0744246537795397,262.3,274.9,295.09999999999997,19.39,89.93,23588.639000000003,0
0,1,0.4808802689161577,0.3316677076826983,-0.3803025280493165,7.304357335928112,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01,19.64,3.2,68.87,0.49999999999999994,0.8660254037844387,0.5255167023461463,-0.4131843768114809,-0.0973696260249858,20.0,262.3,185.73333333333326,19.42,76.26,1525.2,0
1,2,0.3370793046311445,0.1636700648748841,-0.2824756533170984,4.231477437492248,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-02,20.79,3.1,64.54,0.8660254037844386,0.5000000000000001,0.4808802689161577,-0.3803025280493165,-0.4131843768114809,3.2,20.0,95.16666666666663,19.64,68.87,220.38400000000001,0
2,3,0.2918636737517328,0.1250334672021419,-0.2468169618222777,31.632604989497125,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-03,21.92,85.1,68.48,1.0,6.123233995736766e-17,0.3370793046311445,-0.2824756533170984,-0.3803025280493165,3.1,3.2,8.766666666666628,20.79,64.54,200.074,0
3,4,0.3142718151950437,0.0979486482814834,-0.26243263284706,154.41826787151268,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-04,22.08,132.6,84.43,0.8660254037844387,-0.4999999999999998,0.2918636737517328,-0.2468169618222777,-0.2824756533170984,85.1,3.1,30.466666666666626,21.92,68.48,5827.648,0
4,5,0.1950896156092292,0.0775652173913043,-0.1708962055473271,231.06843719241817,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-05,20.4,350.5,92.74,0.49999999999999994,-0.8660254037844387,0.3142718151950437,-0.26243263284706,-0.2468169618222777,132.6,85.1,73.59999999999995,22.08,84.43,11195.418,0
5,6,0.0558316442057456,0.0322173089071383,-0.0614803742954257,402.60313114295,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-06,19.89,275.0,92.77,1.2246467991473532e-16,-1.0,0.1950896156092292,-0.1708962055473271,-0.26243263284706,350.5,132.6,189.39999999999995,20.4,92.74,32505.37,1
6,7,0.0443708572788101,0.0993319268635724,-0.0524480587696288,1091.505423169203,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-07,18.88,679.1,96.03,-0.4999999999999997,-0.8660254037844388,0.0558316442057456,-0.0614803742954257,-0.1708962055473271,275.0,350.5,252.69999999999996,19.89,92.77,25511.75,1
