date,temperature_c,rainfall_mm,humidity_percent
2019-03-23,23.0,0.2,69
2019-03-24,22.9,0.8,75
2019-03-25,24.0,0.0,66
2019-03-26,23.3,1.3,71
2019-03-27,22.5,3.4,80
2019-03-28,23.9,0.0,67
2019-03-29,21.8,1.7,84
2019-03-30,22.3,1.0,85
2019-03-31,22.2,1.0,79
2019-04-01,21.9,1.6,82
2019-04-02,22.0,5.2,88
2019-04-03,22.8,0.0,74
2019-04-04,22.1,1.5,81
2019-04-05,23.0,1.6,78
2019-04-06,22.4,1.1,79
2019-04-07,22.7,5.1,78
2019-04-08,22.1,2.4,84
2019-04-09,22.2,5.7,85
2019-04-10,22.4,0.1,81
2019-04-11,22.6,1.8,81
2019-04-12,22.6,6.2,79
2019-04-13,23.0,0.3,78
2019-04-14,23.3,0.8,78
2019-04-15,22.7,0.9,81
2019-04-16,22.5,2.4,80
2019-04-17,23.3,0.7,79
2019-04-18,23.5,1.3,76
2019-04-19,22.4,3.0,77
2019-04-20,22.6,0.9,75
2019-04-21,22.0,0.8,79
2019-04-22,23.1,0.6,75
2019-04-23,21.7,16.4,87
2019-04-24,23.6,0.0,72
2019-04-25,23.1,0.0,78
2019-04-26,23.4,0.2,77
2019-04-27,22.8,5.8,88
2019-04-28,22.8,12.4,86
2019-04-29,22.3,2.5,90
2019-04-30,21.9,16.5,92
2019-05-01,21.7,2.6,92
2019-05-02,21.7,0.0,83
2019-05-03,21.4,0.0,84
2019-05-04,21.3,0.0,82
2019-05-05,21.8,0.5,80
2019-05-06,23.1,0.5,80
2019-05-07,21.3,18.7,94
2019-05-08,20.8,5.6,98
2019-05-09,21.3,0.5,83
2019-05-10,22.6,0.3,76
2019-05-11,22.6,0.5,84
2019-05-12,22.5,4.7,84
2019-05-13,21.7,3.2,89
2019-05-14,22.1,0.1,87
2019-05-15,21.9,1.7,88
2019-05-16,22.6,0.2,83
2019-05-17,22.2,0.5,86
2019-05-18,22.6,6.2,87
2019-05-19,22.8,4.9,88
2019-05-20,22.7,6.6,87
2019-05-21,22.7,1.1,86
2019-05-22,23.1,2.7,86
2019-05-23,21.9,9.6,91
